"Name", "Stmts", "Miss", "Cover"
"gen_vhost/__init__.py", "8", "0", "100%"
"gen_vhost/core/__init__.py", "9", "0", "100%"
"gen_vhost/core/model/__init__.py", "9", "0", "100%"
"gen_vhost/core/model/project_setup.py", "14", "0", "100%"
"gen_vhost/core/service/__init__.py", "9", "0", "100%"
"gen_vhost/core/service/engine.py", "27", "3", "89%"
"gen_vhost/core/service/iservice.py", "14", "0", "100%"
"gen_vhost/core/service/isubprocessor.py", "14", "0", "100%"
"gen_vhost/engine.py", "57", "0", "100%"
"gen_vhost/infrastructure/__init__.py", "8", "0", "100%"
"gen_vhost/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_vhost/infrastructure/cli/engine.py", "39", "7", "82%"
"gen_vhost/infrastructure/cli/icli.py", "16", "2", "88%"
"gen_vhost/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_vhost/infrastructure/cli/setup/bundle.py", "22", "1", "95%"
"gen_vhost/infrastructure/cli/setup/dep_validator.py", "28", "0", "100%"
"gen_vhost/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_vhost/infrastructure/cli/setup/factory.py", "32", "0", "100%"
"gen_vhost/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_vhost/infrastructure/cli/setup/opt_validator.py", "28", "0", "100%"
"gen_vhost/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_vhost/infrastructure/cli/setup/registry.py", "21", "0", "100%"
"gen_vhost/infrastructure/cli/setup/validator.py", "35", "0", "100%"
"gen_vhost/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_vhost/infrastructure/command/command.py", "16", "0", "100%"
"gen_vhost/infrastructure/command/gen_vhost_command_definition.py", "24", "1", "96%"
"gen_vhost/infrastructure/command/gen_vhost_command_executor.py", "25", "5", "80%"
"gen_vhost/infrastructure/command/icommand_definition.py", "15", "0", "100%"
"gen_vhost/infrastructure/command/icommand_executor.py", "14", "1", "93%"
"gen_vhost/infrastructure/subprocessor.py", "59", "22", "63%"
"gen_vhost/setup/__init__.py", "9", "0", "100%"
"gen_vhost/setup/bundle.py", "23", "1", "96%"
"gen_vhost/setup/dep_validator.py", "28", "0", "100%"
"gen_vhost/setup/dependencies.py", "19", "0", "100%"
"gen_vhost/setup/factory.py", "45", "1", "98%"
"gen_vhost/setup/keys.py", "27", "1", "96%"
"gen_vhost/setup/opt_validator.py", "26", "9", "65%"
"gen_vhost/setup/options.py", "12", "0", "100%"
"gen_vhost/setup/registry.py", "29", "0", "100%"
"gen_vhost/setup/validator.py", "40", "0", "100%"
"Total", "887", "54", "94%"
